Action,Rule,Source,Destination,SizeBytes,SHA256
MOVED,UserManual,"C:\Users\arwco\OneDrive\Documents\ai_stuff\Igris_OS_Desktop_Environment_User_Manual.txt","C:\Users\arwco\OneDrive\Documents\ai_stuff\docs\manuals\Igris_OS_Desktop_Environment_User_Manual.txt",2793,6689C2912910EA6041F54590BDAB30D1A2EDA08CD4FA7AA3E1CDB0BE5B2B48FF
MOVED,UserManual,"C:\Users\arwco\OneDrive\Documents\ai_stuff\Igris_OS_GUI_User_Manual.txt","C:\Users\arwco\OneDrive\Documents\ai_stuff\docs\manuals\Igris_OS_GUI_User_Manual.txt",3241,42AA3E254B76BF991BA945BA8A5B11CFA4156A9447370DD1A69ABD93E6BD6755
MOVED,PatchedZip,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_patched_bundle.zip","C:\Users\arwco\OneDrive\Documents\ai_stuff\releases\igris_patched_bundle.zip",61757,D44A93638331E2B21A3F4D3F94D198BD52856DD9B89F55720D3F2568AE83DDD1
MOVED,PatchedZip,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_patched_phase3.zip","C:\Users\arwco\OneDrive\Documents\ai_stuff\releases\igris_patched_phase3.zip",25934,549543CBC434FA2419EFE63A01D9B258C6489C9282E7DC497EC48577E7AEB5DF
MOVED,PatchedZip,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_patches_auth_json_identity_2025-08-09.zip","C:\Users\arwco\OneDrive\Documents\ai_stuff\releases\igris_patches_auth_json_identity_2025-08-09.zip",5556,B509F5BCE1FA3CE1D375878D9B7FCC56EA5718F69467BD90EA0ED15A186159F3
MOVED,PatchPy,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_phase2_5_patch_integrated.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\scripts\patches\igris_phase2_5_patch_integrated.py",3617,96A695684233BCB3B1EFE6F72A10895D48100EEEB83DAD43337C323B52995E0F
MOVED,BackupsZip,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_phase3_backup.zip","C:\Users\arwco\OneDrive\Documents\ai_stuff\backups\igris_phase3_backup.zip",127633,E021A1A80609BB6DE8ADD5B1809979E95C968860C6D2EB411137FC129FB1D32D
MOVED,PatchedZip,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_phase3_patch_20250810_224424.zip","C:\Users\arwco\OneDrive\Documents\ai_stuff\releases\igris_phase3_patch_20250810_224424.zip",5944,B5A9F38189F0ECEC2F64813050CD489220E315E3CC4A0D1C5204547B83FF9F7D
MOVED,ZeroByte,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_shell.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\_review_zero_byte\igris_shell.py",0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
MOVED,ToolPy,"C:\Users\arwco\OneDrive\Documents\ai_stuff\image_analyzer.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\tools\image_analyzer.py",1985,ED2AA8C4159D555978C26FD7ADF8370470B3330C7E6FEADB165C527A86C6CF39
MOVED,DesignMD,"C:\Users\arwco\OneDrive\Documents\ai_stuff\modular_desktop_design.md","C:\Users\arwco\OneDrive\Documents\ai_stuff\docs\design\modular_desktop_design.md",4684,BA11974721FA27519A91D6D7908A1D55F21E82FB4F75A5E0F8AB11EF174940BE
MOVED,ToolPy,"C:\Users\arwco\OneDrive\Documents\ai_stuff\organize_igris_structure.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\tools\organize_igris_structure.py",1490,E2C2E774DE6F9D50E4D4F94C848D5EA5A08DDF252541FDF4794C0D5D0DC8FCFD
MOVED,ToolPy,"C:\Users\arwco\OneDrive\Documents\ai_stuff\preflight.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\tools\preflight.py",3534,3933A1E64C2490EB47983D47CEE784B40B8B284296223ADA8C7432EFDCC523FE
MOVED,ZeroByte,"C:\Users\arwco\OneDrive\Documents\ai_stuff\proactive_context_agent.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\_review_zero_byte\proactive_context_agent.py",0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
MOVED,Requirements,"C:\Users\arwco\OneDrive\Documents\ai_stuff\requirements.txt","C:\Users\arwco\OneDrive\Documents\ai_stuff\config\requirements.txt",232,B91592D5ABFCC0907715111F3FDC9B1ACA6618C932426D3A968BC298D81E8AB7
MOVED,ScanOutput,"C:\Users\arwco\OneDrive\Documents\ai_stuff\scan_output.txt","C:\Users\arwco\OneDrive\Documents\ai_stuff\analysis\scan_output.txt",108,32CC0AB61F4DE44B24A705A868B45E78AD9659C0FD95E4414A10FE1BEF3C27DF
MOVED,ZeroByte,"C:\Users\arwco\OneDrive\Documents\ai_stuff\screen_capture.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\_review_zero_byte\screen_capture.py",0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
